ID     | BKZ     | berufskundliche Gruppe  | Berufsbezeichnung
7472   | 71303902 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Unternehmensführung
7966   | 71303903 | A Fachwirte             | Fachwirt/in - Industrie
9695   | 71303905 | A Sonst. kaufm. WB      | Technische/r Betriebswirt/in (Weiterbildung)
9732   | 71303909 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Produktionswirtschaft
9733   | 71303910 | A Fachwirte             | Technische/r Fachwirt/in
9736   | 71303911 | A Sonst. kaufm. WB      | Praktische/r Betriebswirt/in
9737   | 71303912 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - allg. Betriebswirtschaft
14749  | 71303926 | A Fachwirte             | Fachwirt/in - Handwerk/B. Prof. Kaufmännisches Management
14892  | 71303929 | A Sonst. kaufm. WB      | Betriebswirt/in (BBiG)/M. Prof. Business Management
29388  | 71303937 | A Fachwirte             | Fachwirt/in - Wirtschaft
34966  | 71333901 | A Sonst. kaufm. WB      | Wirtschaftsförder(er/in)
9745   | 71383903 | A Sonst. kaufm. WB      | Industrie-Betriebswirt/in - Naturwerkstein
9746   | 71383904 | A Betriebswirte (FS)    | Betriebswirt/in (staatl. gepr.) - Druck
58976  | 71383920 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Recht
134755 | 71383963 | A Sonst. WB             | KI-Manager/in
15242  | 71402918 | A Sonst. kaufm. WB      | PC-Fachkraft - kaufmännisch
7887   | 71403902 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Kommunik. und Büromanagem.
14088  | 71403908 | A Sonst. kaufm. WB      | Fachmann/-frau - Bürokommunikation
14912  | 71403912 | A Sonst. kaufm. WB      | Sekretär/in (Weiterbildung)
119345 | 71403920 | A Fachwirte             | Fachwirt/in - Büro- und Projektorganisation
7990   | 71413901 | A Sonst. kaufm. WB      | Fremdsprachenkaufmann/-frau
66478  | 71413910 | A Sonst. kaufm. WB      | Fremdsprachenkorrespondent/in (Weiterbildung)
66477  | 71424913 | A Sonst. WB             | Übersetzer/in (Weiterbildung)
15046  | 71493901 | A Sonst. kaufm. WB      | Büroleiter/in - Handwerk
7972   | 71513901 | A Fachkaufleute         | Fachkaufmann/-frau - Personal
58965  | 71513905 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Personalwirtschaft
58977  | 71513924 | A Sonst. kaufm. WB      | Personalreferent/in
89951  | 71523902 | A Fachwirte             | Fachwirt/in - Personaldienstleistung
6744   | 72113900 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Bank
6754   | 72113901 | A Fachwirte             | Fachwirt/in - Bank
14328  | 72113906 | A Betriebswirte (FS)    | Sparkassenbetriebswirt/in
6781   | 72123901 | A Fachwirte             | Fachwirt/in - Finanzberatung
15063  | 72123904 | A Fachkaufleute         | Fachberater/in - Finanzdienstleistungen
28221  | 72123905 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Finanzen und Investment
58512  | 72132905 | A Sonst. kaufm. WB      | Fachmann/-frau - Versicherungsvermittlung
74100  | 72133908 | A Fachwirte             | Fachwirt/in - Versicherungen und Finanzen
7063   | 72183902 | A Fachwirte             | Fachwirt/in - Finanzierung und Leasing
7685   | 72213900 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Rechnungswesen
7693   | 72213901 | A Sonst. kaufm. WB      | Buchhalter/in
7696   | 72213902 | A Fachkaufleute         | Bilanzbuchhalter/in/B. Prof. Bilanzbuchhaltung
7706   | 72213903 | A Fachagrarwirte        | Fachagrarwirt/in - Rechnungswesen
15014  | 72213907 | A Sonst. kaufm. WB      | Assistent/in/Fachkraft - Rechnungswesen
33200  | 72213909 | A Fachkaufleute         | Finanzbuchhalter/in
131094 | 72213930 | A Sonst. kaufm. WB      | Fachassistent/in Lohn und Gehalt
132515 | 72213932 | A Sonst. kaufm. WB      | Fachassistent/in Rechnungswesen und Controlling
134653 | 72213935 | A Sonst. kaufm. WB      | Fachassistent/in Land- und Forstwirtschaft
136095 | 72213936 | A Sonst. kaufm. WB      | Fachassistent/in Digitalisierung und IT-Prozesse
7551   | 72233901 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Controlling
7688   | 72233902 | A Fachwirte             | Fachwirt/in - Controlling
51002  | 72234900 | A Fachkaufleute         | Controller/in
7574   | 72303900 | A Fachwirte             | Fachwirt/in - Steuer
9735   | 72303902 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Steuern
7567   | 72304900 | A Sonst. kaufm. WB      | Steuerberater/in
7960   | 73113901 | A Fachwirte             | Fachwirt/in - Notariat
14734  | 73113902 | A Fachwirte             | Fachwirt/in - Recht
15147  | 73113904 | A Sonst. WB             | Inspektor/in - Notardienst
7648   | 73203903 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Verwaltung
7649   | 73203904 | A Fachwirte             | Fachwirt/in - Verwaltung
74108  | 73213908 | A Fachwirte             | Fachwirt/in - Krankenkasse
122248 | 73213923 | A Fachwirte             | Fachwirt/in - Gesetzl. Renten- und knappschaftl. Sozialvers.
9029   | 73223901 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Sozialwesen
9134   | 73223904 | A Fachwirte             | Fachwirt/in - Organisation u. Führung (Sozial)
15490  | 73223911 | A Sonst. WB             | Zahnmedizinische/r Verwaltungsassistent/in
34928  | 73223914 | A Fachwirte             | Fachwirt/in - Zahnärztliches Praxismanagement
34986  | 73223915 | A Fachwirte             | Fachwirt/in - Gesundheits- und Sozialwesen
35295  | 73223917 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Managem. im Gesundheitswes.
58334  | 73333901 | A Fachwirte             | Fachwirt/in - Informationsdienste
77549  | 81103901 | A Fachwirte             | Fachwirt/in - ambulante medizinische Versorgung
129410 | 81103902 | A Sonst. WB             | Praxisassistent/in (nicht ärztlich)
8931   | 81113900 | A Sonst. WB             | Zahnmedizinische/r Fachassistent/in
15837  | 81113901 | A Sonst. WB             | Dentalhygieniker/in
28260  | 81113903 | A Sonst. WB             | Zahnmedizinische/r Prophylaxeassistent/in
6338   | 81143900 | A Fachagrarwirte        | Fachagrarwirt/in - Besamungswesen
13982  | 81183900 | A Sonst. WB             | Arbeitsmedizinische/r Assistent/in
"13894  | 81213901 | A Sonst. WB             | Biomed. Fachanalytiker/in - klinische Chemie, Pathobiochemie"
13898  | 81213904 | A Sonst. WB             | Biomed. Fachanalytiker/in - Hämatologie
13900  | 81213905 | A Sonst. WB             | Fachassistent/in - Morphologie
"58483  | 81213906 | A Sonst. WB             | Biomed. Fachanalytiker/in - Immunhämatolog.,Transfusionsmed."
58487  | 81213908 | A Sonst. WB             | Biomed. Fachanalytiker/in - Histologie und Zytopathologie
"93349  | 81213910 | A Sonst. WB             | Biomed. Fachanalytiker/in -med. Mikrobio., Virolog., Hygiene"
6046   | 81223900 | A Techniker             | Techniker/in - Kardiotechnik
132075 | 81233905 | A Sonst. WB             | Radiologietechnologe/-technologin - Radiolog. Bildgebung
132076 | 81233906 | A Sonst. WB             | Radiologietechnologe/-technologin - Neurorad. Bildgebung
8824   | 81313900 | A Fachpfleger           | Fachkrankenschwester/-pfleger - Operationsdienst
14452  | 81313903 | A Fachpfleger           | Fachkrankenpfleger/in - Intensivpflege/Anästhesie
14453  | 81313904 | A Fachpfleger           | Fachkrankenpfleger/in - Nephrologie
14456  | 81313907 | A Fachpfleger           | Fachkrankenpfleger/in - Psychiatrie
14458  | 81313909 | A Fachpfleger           | Fachkrankenpfleger/in - Onkologie
14460  | 81313911 | A Fachpfleger           | Fachkrankenpfleger/in - Rehabilitation/Langzeitpflege
14461  | 81313912 | A Fachpfleger           | Fachkrankenpfleger/in - Klinische Geriatrie
27725  | 81313913 | A Fachpfleger           | Fachkrankenschwester/-pfleger - Endoskopie
58792  | 81313915 | A Fachpfleger           | Fachkrankenpfleger/in - Operations-/Endoskopiedienst
69688  | 81313916 | A Fachpfleger           | Fachkrankenpfleger/in - Palliativ- und Hospizpflege
130069 | 81313917 | A Fachpfleger           | Fachkrankenpfleger/in - Notfallpflege
134760 | 81313918 | A Fachpfleger           | Fachkrankenpfleger/in - Intermediate Care
14578  | 81323900 | A Fachpfleger           | Fachkinderkrankenpfleger/in - Onkologie
14681  | 81323901 | A Fachpfleger           | Fachkinderkrankenpfleger/in - Intensivpflege/Anästhesie
14683  | 81323902 | A Fachpfleger           | Fachkinderkrankenpfleger/in - Nephrologie
14830  | 81323903 | A Fachpfleger           | Fachkinderkrankenpfleger/in - Psychiatrie
14831  | 81323904 | A Fachpfleger           | Fachkinderkrankenschwester/-pfleger - Operationsdienst
58796  | 81323907 | A Fachpfleger           | Fachkinderkrankenpfleger/in - Rehabilitation/Langzeitpflege
58798  | 81323908 | A Fachpfleger           | Fachkinderkrankenpfleger/in - Operations-/Endoskopiedienst
69689  | 81323909 | A Fachpfleger           | Fachkinderkrankenpfleger/in - Palliativ-/Hospizpflege
134762 | 81323910 | A Fachpfleger           | Fachkinderkrankenpfleger/in - Intermediate Care
130071 | 81323911 | A Fachpfleger           | Fachkinderkrankenpfleger/in - Notfallpflege
132573 | 81323912 | A Sonst. WB             | Fachkraft - Frühe Hilfen
"135904 | 81383900 | A Sonst. WB             | Pflegeexperte/-expertin - Stoma, Kontinenz und Wunde"
14790  | 81393900 | A Sonst. WB             | Stationsleiter/in - Kranken-/Alten-/Kinderkrankenpflege
14589  | 81394901 | A Sonst. WB             | Pflegedienstleiter/in
15483  | 81623900 | A Sonst. WB             | Psychologisch-technische/r Assistent/in
130733 | 81634938 | A Sonst. WB             | Mediator/in
14640  | 81723901 | A Sonst. WB             | Altentherapeut/in
34982  | 81723903 | A Sonst. WB             | Reittherapeut/in
15122  | 81723914 | A Sonst. WB             | Hippotherapeut/in
8756   | 81723915 | A Sonst. WB             | Motopäde/Motopädin
14347  | 81764900 | A Sonst. WB             | Verpflegungsmanager/in (Diätküchenleiter/in)
8780   | 81783900 | A Sonst. WB             | Heileurythmist/in
13889  | 81783902 | A Sonst. WB             | Diabetesberater/in
15677  | 81783906 | A Sonst. WB             | Tanz- und Bewegungstherapeut/in
14042  | 81883900 | A Sonst. WB             | Pharmareferent/in
14834  | 82183901 | A Fachpfleger           | Fachaltenpfleger/in - klinische Geriatrie/Rehabilitation
14837  | 82183902 | A Fachpfleger           | Fachaltenpfleger/in - Psychiatrie
35011  | 82183905 | A Fachpfleger           | Fachaltenpfleger/in - Onkologie
69709  | 82183906 | A Fachpfleger           | Fachaltenpfleger/in - Palliativ- und Hospizpflege
135776 | 82213822 | A Sonst. WB             | Pflegeberater/in
9014   | 82213900 | A Sonst. WB             | Sozialmedizinische/r Assistent/in
35001  | 82223901 | A Sonst. WB             | Wellnessberater/in
122250 | 82223903 | A Fachwirte             | Fachwirt/in - Kosmetik und Wellness
13890  | 82233900 | A Sonst. WB             | Ernährungsberater/in
27491  | 82243900 | A Sonst. WB             | Qualitätsbeauftragte/r - Gesundheits-/Sozialwesen
58987  | 82243901 | A Sonst. WB             | Pflegesachverständige/r
77370  | 82322907 | A Sonst. WB             | Nageldesigner/in
9912   | 82393900 | A Handwerksmeister      | Friseurmeister/in
126671 | 82393903 | A Handwerksmeister      | Kosmetikermeister/in
15029  | 82403900 | A Fachwirte             | Fachwirt/in - Bestattung
8227   | 82403901 | A Sonst. WB             | Bestatter/in (Weiterbildung)
77301  | 82493901 | A Sonst. Meister        | Bestattermeister/in
6047   | 82503901 | A Techniker             | Techniker/in - Medizintechnik
135397 | 82523915 | A Sonst. WB             | Optometrist/in
2429   | 82593901 | A Handwerksmeister      | Orthopädietechnikermeister/in
2623   | 82593902 | A Handwerksmeister      | Zahntechnikermeister/in
2636   | 82593903 | A Handwerksmeister      | Augenoptikermeister/in
2974   | 82593904 | A Handwerksmeister      | Hörakustikermeister/in
123751 | 82593908 | A Industriemeister      | Industriemeister/in - Medizintechnik
14792  | 83133903 | A Sonst. WB             | Fachkraft - Arbeits- und Berufsförderung
15835  | 83133905 | A Sonst. WB             | Sonderpädagoge/-pädagogin (Fachschule)
123550 | 83133931 | A Sonst. WB             | Heilerziehungspfleger/in - Psychiatrie
9131   | 83133943 | A Sonst. WB             | Arbeitserzieher/in
9602   | 83133944 | A Sonst. WB             | Fachkraft - Blinden- und Sehbehindertenrehabilitation
9129   | 83134900 | A Sonst. WB             | Heilpädagoge/-pädagogin
9078   | 83143902 | A Sonst. WB             | Dorfhelfer/in
58960  | 83143904 | A Sonst. WB             | Haus- und Familienpfleger/in (Weiterbildung)
14082  | 83154900 | A Sonst. WB             | Sozialberater/in - ausländische Arbeitnehmer
14804  | 83193900 | A Fachwirte             | Fachwirt/in - Erziehungswesen
10129  | 83213902 | A Wirtschafter          | Wirtschafter/in - Hauswirtschaft
10143  | 83213905 | A Techniker             | Techniker/in - Ernährungs- und Versorgungsmanagement
13984  | 83213907 | A Sonst. WB             | Fachhauswirtschafter/in
15472  | 83213908 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Hauswirtschaft
51039  | 83213909 | A Sonst. WB             | Fachkraft - landwirtschaftlicher Haushalt
10110  | 83293900 | A Sonst. WB             | Hauswirtschaftliche/r Betriebsleiter/in
35287  | 83293904 | A Sonst. Meister        | Meister/in - Hauswirtschaft
9895   | 83323900 | A Sonst. WB             | Gemeindereferent/in - katholisch
9896   | 83323901 | A Sonst. WB             | Diakon/in (evangelisch)
9897   | 83323902 | A Sonst. WB             | Diakon (katholisch)
9883   | 83384900 | A Sonst. WB             | Missionar/in
9338   | 84134900 | A Sonst. WB             | Fachlehrer/in - Förderschulen
126829 | 84213825 | A Sonst. WB             | Praxisanleiter/in - Notfallsanitäter
14575  | 84213904 | A Sonst. WB             | Praxisanleiter/in - Pflegeberufe
58450  | 84213911 | A Sonst. WB             | Lehrkraft - Schulen im Gesundheitswesen
9392   | 84214903 | A Sonst. WB             | Fachlehrer/in - berufliche/allgemeinbildende Schulen
9673   | 84223900 | A Sonst. WB             | Ausbilder/in - Anerkannte Ausbildungsberufe
14008  | 84223901 | A Sonst. WB             | Schweißlehrer/in
58319  | 84223910 | A Sonst. WB             | Hufbeschlaglehrschmied/in
77111  | 84223911 | A Sonst. WB             | Aus- und Weiterbildungspädagoge/-pädagogin
77128  | 84224903 | A Sonst. WB             | Berufspädagoge/-pädagogin
13673  | 84434900 | A Sonst. WB             | Theaterpädagoge/-pädagogin
9384   | 84444900 | A Sonst. WB             | Fachlehrer/in - Informationsverarbeitung/Bürowirtschaft
15295  | 84444901 | A IT-Aufstiegsfortb. (zert.) | IT-Trainer/in
27469  | 84483901 | A Sonst. WB             | Ausbilder/in - Erste Hilfe
9478   | 84503901 | A Sonst. WB             | Berufstrainer/in - Sport
9569   | 84513900 | A Sonst. WB             | Fahrlehrer/in
6069   | 91233900 | A Techniker             | Techniker/in - Grabungstechnik
58556  | 92113921 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Marketingkommunikation
58558  | 92113922 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Absatz/Marketing
126568 | 92113974 | A Fachwirte             | Fachwirt/in - Marketing
122252 | 92303943 | A Fachwirte             | Fachwirt/in - Musik
133354 | 92303958 | A Fachwirte             | Fachwirt/in - Medien/B. Prof. Media
8291   | 92413900 | A Sonst. WB             | Technische/r Redakteur/in
13981  | 93103901 | A Gestalter             | Gestalter/in - Handwerk
30242  | 93103902 | A Gestalter             | Gestalter/in - Produktdesign
8566   | 93213900 | A Gestalter             | Gestalter/in - Holz/Möbel/Raumgestaltung
27714  | 93213903 | A Gestalter             | Gestalter/in - Farbtechnik/Raumgestaltung
4428   | 93233900 | A Restauratoren         | Restaurator/in - Raumausstatterhw./M. Prof. Restaurierung
51010  | 93233902 | A Sonst. WB             | Gestaltungsberater/in - Raumausstatterhandwerk
4406   | 93293900 | A Handwerksmeister      | Raumausstattermeister/in
58966  | 93312907 | A Sonst. WB             | Steinmetz/in und Steinbildhauer/in - Denkmalpflege
58506  | 93313901 | A Restauratoren         | Restaurator/in - Holzbildhauerhw./M. Prof. Restaurierung
13973  | 93333900 | A Gestalter             | Gestalter/in - Spielzeug
4641   | 93343900 | A Restauratoren         | Restaurator/in - Vergolderhandwerk/M. Prof. Restaurierung
1164   | 93393900 | A Handwerksmeister      | Wachsziehermeister/in
1529   | 93393901 | A Handwerksmeister      | Drechsler-(Elfenbeinschni.) u. Holzspielzeugmachermeister/in
1535   | 93393902 | A Handwerksmeister      | Holzbildhauermeister/in
4642   | 93393903 | A Handwerksmeister      | Vergoldermeister/in
13677  | 93413900 | A Sonst. WB             | Dekorentwerfer/in
14849  | 93413901 | A Gestalter             | Gestalter/in - Keramik
986    | 93493900 | A Handwerksmeister      | Keramikermeister/in
4656   | 93493901 | A Handwerksmeister      | Glas- und Porzellanmalermeister/in
133417 | 93513902 | A Restauratoren         | Restaurator/in - Metallbildnerhw./M. Prof. Restaurierung
"14093  | 93523901 | A Gestalter             | Gestalter/in - Edelstein, Schmuck und Gerät"
59023  | 93523903 | A Restauratoren         | Restaurator/in - Gold-u. Silberschmiedehw./M. Prof. Restaur.
133419 | 93533900 | A Restauratoren         | Restaurator/in - Graveurhandwerk/M. Prof. Restaurierung
897    | 93593900 | A Handwerksmeister      | Edelsteinschleifer- und Edelsteingraveurmeister/in
1959   | 93593901 | A Handwerksmeister      | Graveurmeister/in
2552   | 93593902 | A Handwerksmeister      | Metallbildnermeister/in
2593   | 93593903 | A Handwerksmeister      | Gold- und Silberschmiedemeister/in
8492   | 93593904 | A Handwerksmeister      | Schilder- und Lichtreklameherstellermeister/in
58510  | 93653900 | A Restauratoren         | Restaurator/in - Orgel-u. Harmoniumbauerhw/M. Prof. Restaur.
2649   | 93693900 | A Handwerksmeister      | Klavier- und Cembalobauermeister/in
2659   | 93693901 | A Handwerksmeister      | Orgel- und Harmoniumbauermeister/in
2675   | 93693902 | A Handwerksmeister      | Geigenbauermeister/in
2676   | 93693903 | A Handwerksmeister      | Bogenmachermeister/in
2682   | 93693904 | A Handwerksmeister      | Zupfinstrumentenmachermeister/in
2688   | 93693905 | A Handwerksmeister      | Holzblasinstrumentenmachermeister/in
2695   | 93693906 | A Handwerksmeister      | Handzuginstrumentenmachermeister/in
13868  | 93693907 | A Handwerksmeister      | Metallblasinstrumentenmachermeister/in
14241  | 94404902 | A Sonst. WB             | Producer/in
73948  | 94413900 | A Sonst. WB             | Regieassistent/in
35334  | 94493904 | A Sonst. WB             | Produktionsleiter/in - Film und Fernsehen
77114  | 94593908 | A Sonst. Meister        | Meister/in - Veranstaltungstechnik/B. Prof. Veranstaltungst.
119592 | 94593909 | A Sonst. Meister        | Meister/in - Medienproduktion Bild und Ton
8553   | 94613900 | A Sonst. WB             | Gewandmeister/in
7413   | 94623900 | A Sonst. WB             | Requisiteur/in
15797  | 94724900 | A Sonst. WB             | Gemmologe/Gemmologin
